"","vignette_name","eth_name","order_name","ts_scale","ts_forced_recode"
"1","biz","white","TS_first",8,1
"2","minorities","white","Donation_first",6,1
"3","police","white","TS_first",7,1
"4","minorities","immigrant","Donation_first",7,1
"5","police","white","Donation_first",3,2
"8","dad","white","Donation_first",5,2
"9","alcohol","white","TS_first",7,1
"10","alcohol","white","TS_first",8,1
"11","alcohol","white","Donation_first",8,1
"14","biz","immigrant","Donation_first",7,2
"15","terr","white","Donation_first",7,1
"16","dad","white","TS_first",1,2
"20","minorities","immigrant","TS_first",9,1
"21","terr","white","TS_first",7,1
"22","terr","immigrant","TS_first",7,2
"23","biz","white","Donation_first",9,1
"24","minorities","immigrant","Donation_first",6,2
"25","terr","white","TS_first",9,1
"26","police","immigrant","TS_first",3,2
"27","dad","immigrant","Donation_first",9,2
"29","minorities","immigrant","TS_first",5,2
"30","alcohol","immigrant","Donation_first",7,1
"32","minorities","white","Donation_first",7,1
"33","alcohol","white","Donation_first",9,1
"34","biz","white","TS_first",5,1
"35","biz","immigrant","Donation_first",6,2
"36","police","white","Donation_first",8,1
"40","dad","white","TS_first",4,2
"44","terr","white","Donation_first",5,2
"45","minorities","immigrant","Donation_first",8,1
"46","police","immigrant","TS_first",5,2
"48","police","white","TS_first",6,2
"50","alcohol","immigrant","TS_first",9,1
"57","minorities","white","TS_first",7,1
"59","biz","white","Donation_first",8,2
"60","police","white","Donation_first",9,1
"61","police","immigrant","Donation_first",5,1
"65","dad","white","TS_first",5,2
"66","alcohol","white","Donation_first",7,1
"71","terr","white","TS_first",6,1
"72","police","white","TS_first",7,1
"78","alcohol","white","Donation_first",7,2
"82","terr","white","Donation_first",8,2
"83","alcohol","white","TS_first",4,2
"85","minorities","immigrant","Donation_first",2,2
"87","alcohol","immigrant","TS_first",4,2
"88","biz","white","TS_first",7,1
"90","terr","white","Donation_first",6,2
"91","biz","immigrant","TS_first",6,1
"92","terr","immigrant","TS_first",7,1
"93","minorities","white","Donation_first",9,1
"94","alcohol","immigrant","Donation_first",5,1
"95","police","white","TS_first",8,1
"96","police","white","Donation_first",6,2
"97","terr","white","TS_first",9,1
"98","alcohol","white","Donation_first",9,1
"99","minorities","immigrant","TS_first",7,1
"101","police","immigrant","Donation_first",7,1
"103","minorities","white","TS_first",7,2
"105","biz","immigrant","Donation_first",7,1
"107","dad","white","TS_first",5,2
"109","dad","white","Donation_first",6,2
"110","dad","white","Donation_first",6,1
"113","biz","immigrant","TS_first",8,2
"115","biz","white","Donation_first",7,2
"116","alcohol","white","Donation_first",6,1
"117","biz","white","TS_first",3,2
"119","police","immigrant","TS_first",7,1
"121","terr","white","TS_first",9,1
"122","terr","immigrant","TS_first",9,2
"123","dad","immigrant","Donation_first",6,2
"124","alcohol","immigrant","Donation_first",5,2
"127","minorities","immigrant","TS_first",7,1
"134","biz","white","TS_first",8,1
"135","police","white","TS_first",5,1
"139","biz","immigrant","Donation_first",8,1
"141","biz","white","Donation_first",6,1
"146","police","white","Donation_first",1,2
"149","alcohol","immigrant","TS_first",6,1
"151","minorities","immigrant","Donation_first",5,1
"154","terr","immigrant","Donation_first",2,2
"156","minorities","immigrant","TS_first",3,2
"160","police","immigrant","Donation_first",9,1
"164","minorities","immigrant","Donation_first",4,2
"167","terr","white","TS_first",9,1
"169","dad","white","TS_first",6,2
"170","biz","immigrant","Donation_first",7,2
"172","minorities","white","Donation_first",9,1
"173","biz","white","TS_first",7,1
"174","dad","white","Donation_first",5,2
"176","terr","immigrant","TS_first",7,1
"177","police","immigrant","TS_first",7,1
"180","police","white","Donation_first",7,1
"182","minorities","immigrant","TS_first",7,1
"183","dad","white","TS_first",5,2
"186","dad","white","Donation_first",6,1
"187","biz","immigrant","Donation_first",9,2
"188","police","white","Donation_first",8,1
"191","dad","immigrant","TS_first",8,1
"195","terr","white","TS_first",7,1
"197","police","immigrant","Donation_first",9,1
"198","alcohol","white","Donation_first",9,1
"199","terr","immigrant","TS_first",7,2
"200","terr","immigrant","Donation_first",3,2
"203","minorities","white","TS_first",8,2
"206","alcohol","white","TS_first",6,1
"207","dad","immigrant","Donation_first",7,1
"208","alcohol","white","Donation_first",5,1
"209","minorities","white","TS_first",5,2
"210","minorities","white","Donation_first",8,1
"211","biz","immigrant","Donation_first",9,1
"212","minorities","white","Donation_first",5,2
"215","police","immigrant","TS_first",4,2
"217","minorities","immigrant","TS_first",6,2
"218","minorities","immigrant","Donation_first",6,2
"219","police","immigrant","Donation_first",3,2
"220","alcohol","white","TS_first",7,1
"223","alcohol","immigrant","Donation_first",7,2
"226","biz","white","Donation_first",8,1
"229","alcohol","white","Donation_first",1,2
"230","police","white","TS_first",9,1
"231","terr","immigrant","Donation_first",7,1
"232","alcohol","white","TS_first",6,1
"234","alcohol","immigrant","Donation_first",6,1
"236","alcohol","immigrant","TS_first",8,1
"237","police","white","Donation_first",6,1
"238","minorities","immigrant","Donation_first",6,1
"239","biz","white","Donation_first",7,1
"241","biz","white","TS_first",5,2
"242","minorities","immigrant","TS_first",4,2
"243","dad","white","TS_first",6,1
"244","police","white","TS_first",1,2
"249","terr","white","TS_first",5,2
"250","terr","white","TS_first",7,2
"251","alcohol","white","Donation_first",5,2
"253","alcohol","immigrant","Donation_first",5,2
"256","terr","immigrant","Donation_first",4,2
"257","minorities","white","TS_first",3,2
"258","biz","white","TS_first",8,1
"259","dad","white","TS_first",7,2
"261","biz","white","Donation_first",7,1
"262","police","white","TS_first",9,1
"263","police","immigrant","Donation_first",4,1
"265","dad","white","Donation_first",5,2
"267","dad","immigrant","TS_first",3,2
"270","dad","immigrant","Donation_first",5,2
"274","minorities","immigrant","Donation_first",1,2
"275","terr","white","TS_first",7,1
"276","dad","immigrant","TS_first",7,1
"279","alcohol","white","Donation_first",6,1
"280","minorities","white","TS_first",7,1
"281","alcohol","immigrant","Donation_first",9,1
"283","alcohol","immigrant","TS_first",8,1
"284","minorities","white","Donation_first",4,1
"285","terr","white","Donation_first",5,2
"286","police","white","TS_first",5,1
"287","biz","white","TS_first",7,1
"289","dad","white","Donation_first",7,1
"292","terr","immigrant","Donation_first",8,1
"294","dad","white","TS_first",9,2
"296","biz","immigrant","Donation_first",5,2
"299","minorities","immigrant","Donation_first",3,2
"301","biz","immigrant","TS_first",8,1
"303","police","immigrant","Donation_first",8,1
"304","police","white","TS_first",8,1
"306","terr","immigrant","TS_first",5,2
"308","terr","white","Donation_first",6,2
"310","alcohol","immigrant","Donation_first",7,2
"311","dad","immigrant","TS_first",7,1
"312","police","white","Donation_first",8,1
"313","minorities","white","Donation_first",7,2
"316","terr","white","TS_first",9,1
"317","biz","white","Donation_first",8,1
"318","biz","immigrant","Donation_first",6,2
"319","alcohol","white","Donation_first",5,2
"320","minorities","white","TS_first",9,1
"322","police","immigrant","TS_first",8,1
"323","terr","immigrant","Donation_first",6,1
"324","terr","white","Donation_first",3,1
"325","terr","immigrant","TS_first",6,1
"326","biz","immigrant","Donation_first",9,1
"327","alcohol","white","TS_first",9,1
"328","minorities","immigrant","TS_first",4,2
"331","biz","immigrant","TS_first",7,1
"332","biz","white","Donation_first",4,2
"333","police","white","Donation_first",8,1
"334","alcohol","immigrant","TS_first",5,2
"337","terr","white","TS_first",7,2
"341","police","white","TS_first",5,2
"342","minorities","immigrant","Donation_first",7,1
"343","minorities","white","TS_first",8,1
"344","dad","immigrant","Donation_first",7,2
"345","biz","immigrant","TS_first",7,1
"346","dad","immigrant","TS_first",6,1
"347","alcohol","white","TS_first",5,2
"351","biz","immigrant","Donation_first",6,1
"352","minorities","immigrant","TS_first",7,1
"355","terr","white","Donation_first",6,1
"357","police","white","TS_first",4,2
"358","dad","white","TS_first",7,1
"360","dad","immigrant","Donation_first",7,1
"361","terr","immigrant","Donation_first",8,1
"363","minorities","immigrant","Donation_first",1,2
"364","terr","white","TS_first",7,2
"368","police","white","TS_first",8,1
"369","police","immigrant","Donation_first",6,2
"370","minorities","immigrant","TS_first",5,2
"371","terr","immigrant","Donation_first",3,1
"372","dad","white","Donation_first",8,2
"373","alcohol","white","Donation_first",5,2
"377","biz","immigrant","Donation_first",8,1
"378","alcohol","immigrant","TS_first",5,1
"382","terr","white","Donation_first",8,1
"388","minorities","immigrant","Donation_first",6,1
"389","dad","immigrant","Donation_first",5,2
"390","terr","immigrant","TS_first",9,1
"391","terr","white","TS_first",7,1
"392","biz","white","Donation_first",5,2
"394","dad","immigrant","Donation_first",5,1
"401","police","immigrant","Donation_first",7,2
"406","terr","immigrant","Donation_first",8,1
"409","police","immigrant","TS_first",9,1
"410","terr","white","TS_first",3,2
"412","biz","immigrant","TS_first",7,2
"413","alcohol","white","TS_first",8,1
"416","alcohol","immigrant","TS_first",9,1
"419","minorities","white","Donation_first",9,2
"421","minorities","immigrant","Donation_first",7,1
"422","minorities","white","TS_first",6,2
"423","biz","white","TS_first",9,1
"426","police","white","TS_first",7,1
"428","minorities","immigrant","TS_first",3,2
"429","dad","immigrant","TS_first",8,1
"432","police","immigrant","Donation_first",9,1
"438","biz","white","Donation_first",6,1
"439","minorities","white","TS_first",1,2
"442","police","white","Donation_first",9,2
"445","terr","white","Donation_first",7,1
"449","dad","immigrant","Donation_first",2,2
"450","dad","white","TS_first",7,2
"451","biz","immigrant","Donation_first",5,2
"453","minorities","white","Donation_first",7,1
"457","alcohol","immigrant","TS_first",7,1
"459","alcohol","immigrant","Donation_first",7,2
"465","minorities","immigrant","TS_first",8,1
"466","alcohol","immigrant","TS_first",1,1
"469","dad","white","Donation_first",7,1
"471","dad","white","TS_first",8,1
"473","police","immigrant","TS_first",9,1
"475","terr","white","TS_first",7,1
"477","terr","white","Donation_first",7,1
"478","police","white","Donation_first",6,2
"479","alcohol","white","Donation_first",6,2
"480","minorities","immigrant","Donation_first",7,2
"481","terr","immigrant","TS_first",7,2
"482","minorities","white","TS_first",8,2
"483","terr","immigrant","Donation_first",9,1
"484","dad","immigrant","TS_first",7,1
"488","police","white","Donation_first",5,1
"493","biz","white","Donation_first",6,2
"495","alcohol","white","TS_first",3,2
"497","terr","white","TS_first",1,2
"498","dad","white","Donation_first",6,2
"499","alcohol","immigrant","Donation_first",8,1
"500","dad","white","TS_first",7,1
"501","minorities","white","Donation_first",9,1
"502","police","immigrant","Donation_first",9,1
"505","terr","immigrant","Donation_first",6,1
"506","police","immigrant","Donation_first",7,2
"507","biz","immigrant","TS_first",3,2
"508","alcohol","white","TS_first",6,1
"509","terr","white","Donation_first",9,2
"511","alcohol","immigrant","Donation_first",7,1
"512","police","white","TS_first",5,2
"513","dad","white","Donation_first",3,2
"515","biz","immigrant","Donation_first",7,1
"516","terr","white","TS_first",5,1
"517","minorities","immigrant","Donation_first",6,2
"519","police","immigrant","TS_first",9,1
"520","minorities","white","Donation_first",7,1
"522","dad","white","TS_first",3,2
"523","police","white","Donation_first",7,1
"524","biz","white","TS_first",8,1
"526","terr","white","TS_first",5,2
"527","dad","immigrant","Donation_first",9,1
"528","police","immigrant","Donation_first",7,1
"529","alcohol","white","TS_first",8,1
"530","police","white","TS_first",2,2
"531","minorities","white","TS_first",6,2
"532","dad","white","TS_first",7,1
"534","dad","immigrant","TS_first",8,1
"535","minorities","immigrant","TS_first",7,2
"540","alcohol","white","Donation_first",7,1
"541","minorities","immigrant","Donation_first",5,2
"542","terr","immigrant","Donation_first",4,2
"543","dad","white","Donation_first",3,2
"544","police","immigrant","TS_first",7,1
"546","terr","white","Donation_first",7,1
"547","alcohol","immigrant","TS_first",7,1
"548","minorities","white","Donation_first",8,1
"549","biz","immigrant","Donation_first",6,1
"550","dad","white","TS_first",4,2
"551","dad","white","Donation_first",5,2
"553","alcohol","immigrant","Donation_first",8,1
"554","minorities","immigrant","TS_first",8,2
"555","minorities","immigrant","Donation_first",7,2
"556","alcohol","white","TS_first",8,2
"561","terr","immigrant","Donation_first",7,1
"562","police","white","Donation_first",8,1
"563","alcohol","white","Donation_first",7,2
"564","minorities","white","Donation_first",4,2
"568","police","white","TS_first",8,2
"569","police","immigrant","TS_first",8,1
"571","dad","immigrant","TS_first",5,2
"572","biz","white","Donation_first",9,1
"573","terr","white","TS_first",6,2
"576","dad","white","Donation_first",7,1
"577","biz","white","TS_first",6,1
"579","minorities","immigrant","Donation_first",9,1
"580","terr","white","TS_first",7,2
"582","biz","immigrant","TS_first",6,1
"585","alcohol","immigrant","Donation_first",6,1
"591","terr","immigrant","Donation_first",7,1
"593","alcohol","white","Donation_first",7,2
"595","minorities","white","Donation_first",6,1
"596","minorities","white","Donation_first",7,2
"597","police","white","Donation_first",7,1
"598","biz","immigrant","Donation_first",5,2
"599","police","immigrant","TS_first",7,1
"601","terr","immigrant","Donation_first",9,1
"602","terr","white","Donation_first",9,2
"604","alcohol","white","TS_first",7,1
"606","biz","immigrant","TS_first",7,1
"607","minorities","white","TS_first",9,1
"608","terr","immigrant","TS_first",7,1
"609","police","immigrant","Donation_first",7,1
"610","minorities","immigrant","Donation_first",2,2
"611","terr","white","TS_first",4,2
"612","police","white","Donation_first",6,1
"614","alcohol","immigrant","Donation_first",9,1
"615","police","white","TS_first",7,1
"616","biz","white","TS_first",7,1
"618","biz","white","Donation_first",8,1
"622","police","white","Donation_first",5,2
"626","minorities","white","TS_first",5,2
"627","alcohol","immigrant","TS_first",5,1
"629","dad","white","Donation_first",6,1
"631","dad","immigrant","TS_first",7,1
"632","alcohol","immigrant","Donation_first",6,1
"635","terr","white","TS_first",8,1
"636","alcohol","white","TS_first",5,2
"637","terr","immigrant","Donation_first",6,1
"639","dad","immigrant","TS_first",7,1
"640","terr","white","Donation_first",7,1
"641","terr","white","TS_first",7,1
"642","terr","immigrant","TS_first",5,2
"644","alcohol","immigrant","Donation_first",8,1
"645","police","immigrant","Donation_first",9,1
"646","terr","immigrant","Donation_first",7,1
"648","minorities","immigrant","Donation_first",5,2
"649","biz","immigrant","Donation_first",8,1
"653","minorities","immigrant","TS_first",5,1
"654","alcohol","white","TS_first",8,1
"659","police","white","TS_first",6,1
"660","dad","white","Donation_first",7,1
"661","police","immigrant","TS_first",9,1
"662","alcohol","immigrant","Donation_first",2,2
"665","dad","white","TS_first",5,1
"668","terr","immigrant","Donation_first",7,1
"669","police","white","TS_first",4,2
"672","dad","immigrant","TS_first",7,1
"674","biz","immigrant","Donation_first",3,2
"675","terr","white","Donation_first",4,2
"678","dad","white","Donation_first",7,1
